no,profile_name,profile_link,id,profile_affiliations,profile_email,profile_cited_by_count,profile_interests,oldest_year,latest_year,num_publications,total_cites,h_index,i10_index,total_cites_since2019,h_index_since2019,i10_index_since2019
6297,Katherine Faust,https://scholar.google.com/citations?hl=en&user=r-VegwoAAAAJ,r-VegwoAAAAJ,"Professor of Sociology, University of California, Irvine",Verified email at uci.edu,8696,"social network analysis, quantitative methods, comparative social structure",,,,,,,,,
6298,Jackie Abell,https://scholar.google.com/citations?hl=en&user=Sl-bAxsAAAAJ,Sl-bAxsAAAAJ,Associate Professor Social Psychology,Verified email at coventry.ac.uk,8641,"wildlife conservation, African lions, social network analysis, research methods",,,,,,,,,
6299,Lev Muchnik,https://scholar.google.com/citations?hl=en&user=hay5EJQAAAAJ,hay5EJQAAAAJ,"School of Business Administration, Hebrew University of Jerusalem, Israel",Verified email at huji.ac.il,8543,"Social Network Analysis, Social Media, Data Science, Word of Mouth, Peer Influence",,,,,,,,,
6300,Michelle Birkett,https://scholar.google.com/citations?hl=en&user=E8yTZc0AAAAJ,E8yTZc0AAAAJ,"Associate Professor, Northwestern University",Verified email at northwestern.edu,8396,"social network analysis, LGBTQ youth, stigma, HIV, network data capture",,,,,,,,,
6301,Aleksandrs Slivkins,https://scholar.google.com/citations?hl=en&user=f2x233wAAAAJ,f2x233wAAAAJ,"Senior Principal Researcher, Microsoft Research NYC",Verified email at microsoft.com,8178,"Algorithms, machine learning theory, algorithmic economics, social network analysis",,,,,,,,,
6302,Roger Leenders,https://scholar.google.com/citations?hl=en&user=63GISngAAAAJ,63GISngAAAAJ,Tilburg University & Jheronimus Academy of Data Science,Verified email at tilburguniversity.edu,8087,"Social Network Analysis, Teams, Organizations, Sports, Dynamic Network Models",,,,,,,,,
6303,Christopher McCarty,https://scholar.google.com/citations?hl=en&user=jMqJzYAAAAAJ,jMqJzYAAAAAJ,"Associate Dean/Director BEBR, University of Florida",Verified email at ufl.edu,7858,"Social Network Analysis, Survey Research, Collaboration Networks",,,,,,,,,
6304,David Skillicorn,https://scholar.google.com/citations?hl=en&user=RWL3E2AAAAAJ,RWL3E2AAAAAJ,"Professor, School of Computing, Queen's University",Verified email at cs.queensu.ca,7280,"Adversarial knowledge discovery, Textual analytics, Social network analysis, Bioinformatics, Cybersecurity",,,,,,,,,
6305,Bernie Hogan,https://scholar.google.com/citations?hl=en&user=NVU663QAAAAJ,NVU663QAAAAJ,University of Oxford,Verified email at oii.ox.ac.uk,7278,"Sociology, social network analysis, social media",,,,,,,,,
6306,Patricia Goodson,https://scholar.google.com/citations?hl=en&user=qSzHCtoAAAAJ,qSzHCtoAAAAJ,"Professor of Health Education, Texas A&M University",Verified email at tamu.edu,7115,"Sexual health, health behavior theories, complex adaptive systems, social network analysis",,,,,,,,,
6307,Jian Wu,https://scholar.google.com/citations?hl=en&user=LlwuSQIAAAAJ,LlwuSQIAAAAJ,"Professor, Shanghai Maritime University",Verified email at zjnu.cn,7110,"Social Network Analysis, Group decision making, Multiple attribute decision making, Intuitionistic fuzzy, Supplier evaluation",,,,,,,,,
6308,Kathryn Oliver,https://scholar.google.com/citations?hl=en&user=oWJTDC0AAAAJ,oWJTDC0AAAAJ,London School of Hygiene and Tropical Medicine,Verified email at lshtm.ac.uk,7099,"Evidence-based decision-making, Public health, Public policy, social network analysis, health policy",,,,,,,,,
6309,Balaraman Ravindran,https://scholar.google.com/citations?hl=en&user=nGUcGrYAAAAJ,nGUcGrYAAAAJ,"Professor of Computer Science, Indian Institute of Technology Madras",Verified email at cse.iitm.ac.in,7077,"Reinforcement Learning, Data Mining, Social Network Analysis, Text Analytics",,,,,,,,,
6310,jianshu weng,https://scholar.google.com/citations?hl=en&user=Ihv7pWAAAAAJ,Ihv7pWAAAAAJ,AI Singapore,Verified email at acm.org,7032,"information retrieval, data mining, social network analysis",,,,,,,,,
